lnhr,lnwg,kids,ageh,agesq,disab,id,year
7.5755844,1.9125011,2,27,729,0,1,1979
7.7450027,1.8916048,2,28,784,0,1,1980
7.6496925,1.9050881,2,29,841,0,1,1981
7.4730692,1.8900954,2,30,900,0,1,1982
7.495542,1.9358598,2,31,961,0,1,1983
7.495542,1.9329696,2,32,1024,0,1,1984
7.5600805,2.1246538,2,33,1089,0,1,1985
7.7630215,1.943049,2,34,1156,0,1,1986
7.8648038,1.9865035,2,35,1225,0,1,1987
7.8240461,1.9810015,2,36,1296,0,1,1988
7.2004247,2.5360749,4,35,1225,0,2,1979
6.9469762,2.5209169,3,37,1369,1,2,1980
7.2356191,2.593761,3,37,1369,1,2,1981
7.4593387,2.507972,3,38,1444,1,2,1982
6.8134446,2.766319,3,39,1521,0,2,1983
5.4424176,1.4303112,2,40,1600,0,2,1984
5.0751739,1.7191888,1,42,1764,1,2,1985
5.8522024,1.8625286,1,42,1764,0,2,1986
7.6866212,1.8325814,1,43,1849,0,2,1987
7.6285176,1.7917595,0,44,1936,0,2,1988
7.426549,2.3869262,0,26,676,1,3,1979
7.2513452,2.3813963,0,27,729,0,3,1980
7.6157908,2.5809741,0,28,784,0,3,1981
7.5857887,2.6049094,0,29,841,0,3,1982
7.6304612,2.5470986,0,30,900,0,3,1983
7.3492308,2.5687881,0,31,961,0,3,1984
7.2997975,2.6433339,0,32,1024,1,3,1985
7.6033993,2.7107134,0,33,1089,0,3,1986
7.6591716,2.7219532,0,34,1156,0,3,1987
7.6157908,2.6390574,0,35,1225,1,3,1988
7.7997532,2.225704,0,22,484,0,4,1979
7.7186856,2.4371159,0,23,529,0,4,1980
7.6615272,2.3174736,0,24,576,0,4,1981
7.7186856,2.3427668,1,25,625,0,4,1982
7.8785343,2.2874715,1,26,676,0,4,1983
7.9153481,2.3924258,1,27,729,0,4,1984
7.8438487,2.2093728,1,28,784,0,4,1985
7.9585767,2.1400661,2,29,841,0,4,1986
7.8632669,2.320425,2,30,900,0,4,1987
8.0063677,1.975469,2,31,961,0,4,1988
7.6525455,2.3125355,3,31,961,0,5,1979
7.8594131,2.4327359,3,33,1089,0,5,1980
7.6998425,2.4283364,3,34,1156,0,5,1981
7.8030267,2.3418057,3,35,1225,0,5,1982
7.7406645,2.2864556,3,36,1296,0,5,1983
7.7106533,2.539237,3,36,1296,0,5,1984
7.776535,2.5556757,2,38,1444,0,5,1985
7.7406645,2.511224,2,39,1521,0,5,1986
7.7956467,2.6019487,2,39,1521,0,5,1987
7.7336836,2.5649493,2,41,1681,0,5,1988
7.8617272,2.6369121,2,31,961,0,6,1979
7.7066131,2.6268401,2,32,1024,0,6,1980
7.7475967,2.6789646,2,33,1089,0,6,1981
7.922986,2.8124101,2,34,1156,0,6,1982
7.7523351,2.904165,2,36,1296,0,6,1983
7.6778636,2.738256,2,36,1296,0,6,1984
7.7030077,2.8825636,2,37,1369,0,6,1985
7.8823147,2.5817308,2,38,1444,0,6,1986
7.7710671,2.8349764,2,39,1521,0,6,1987
7.6861625,2.7606428,1,40,1600,0,6,1988
8.2880316,2.4932055,4,43,1849,0,7,1979
8.0248623,2.5209169,3,44,1936,0,7,1980
8.2236271,2.1690538,3,46,2116,0,7,1981
8.2553091,2.4973292,2,46,2116,0,7,1982
8.2809649,2.1114247,2,47,2209,0,7,1983
8.2511425,2.2267835,2,48,2304,0,7,1984
8.0274763,2.3608541,2,50,2500,0,7,1985
8.3654394,2.2300143,2,50,2500,0,7,1986
8.2576447,2.0617867,2,52,2704,0,7,1987
8.3542032,2.4458194,2,53,2809,0,7,1988
7.5175209,2.2289386,1,37,1369,0,8,1979
7.5453897,2.2049723,1,38,1444,0,8,1980
7.5331588,2.1770217,1,39,1521,0,8,1981
7.5559049,2.1679101,1,40,1600,0,8,1982
7.6088705,1.9892433,1,41,1681,0,8,1983
7.7052627,2.1679101,1,42,1764,0,8,1984
7.4217758,2.1701958,1,43,1849,0,8,1985
7.5948844,2.1517622,1,44,1936,0,8,1986
7.6088705,2.179287,1,45,2025,0,8,1987
7.6870804,2.1838017,0,46,2116,0,8,1988
7.4730692,2.3532782,1,27,729,0,9,1979
7.5668283,2.3523271,1,28,784,0,9,1980
7.2499256,2.3446863,1,29,841,0,9,1981
7.3827462,2.3850863,2,29,841,0,9,1982
7.3045158,2.4782176,2,31,961,0,9,1983
7.6093664,2.4997952,2,32,1024,0,9,1984
7.5453897,2.6411979,2,33,1089,0,9,1985
7.5621614,2.6122732,2,33,1089,0,9,1986
7.597898,2.6693094,2,35,1225,0,9,1987
7.6680937,2.7911651,2,36,1296,0,9,1988
7.5496092,2.8237569,0,46,2116,0,10,1979
7.6834035,2.8701689,0,47,2209,0,10,1980
6.5875502,2.8593397,0,48,2304,0,10,1981
7.7319307,2.889816,0,49,2401,0,10,1982
7.635304,2.900872,0,50,2500,0,10,1983
7.7275352,2.9003222,0,51,2601,0,10,1984
7.7186856,2.9333248,0,52,2704,0,10,1985
7.635304,2.9295924,0,53,2809,0,10,1986
7.6207051,2.8443279,0,54,2916,0,10,1987
7.7406645,2.9285235,0,55,3025,0,10,1988
7.7186856,2.2782924,1,22,484,0,11,1979
7.6009026,2.2762411,2,23,529,0,11,1980
7.6207051,2.2823825,2,24,576,0,11,1981
7.6157908,2.3075726,2,25,625,0,11,1982
7.5928702,2.2104697,2,26,676,0,11,1983
7.6009026,2.9816334,3,27,729,0,11,1984
7.6401234,2.9851768,3,28,784,0,11,1985
7.6009026,2.9745085,3,29,841,0,11,1986
7.6207051,2.9439125,3,30,900,0,11,1987
7.6362696,3.0091419,3,31,961,0,11,1988
7.6157908,2.7343674,0,28,784,0,12,1979
7.6108527,2.7625384,0,29,841,0,12,1980
7.6643467,2.7517481,0,30,900,0,12,1981
7.52564,2.74084,0,32,1024,0,12,1982
